   8,  767,   97,  230,  
   9,  767,   97,  230,  
  10,  895,   97,  230,  
  11,  895,  151,  230,  
  12,  895,  151,  230,  
  13,  895,  151,  230,  
  14,  959,  151,  230,  
  15,  959,  192,  230,  
  16,  959,  192,  230,  
  17,  959,  192,  230,  
  18,  991,  192,  230,  
  19,  991,  233,  230,  
  20,  991,  233,  230,  
  21,  991,  233,  230,  
  22,  975,  233,  230,  
  23,  975,  209,  230,  
  24,  975,  209,  230,  
  25,  975,  209,  230,  
  26,  983,  209,  230,  
  27,  983,  220,  230,  
  28,  983,  220,  230,  
  29,  983,  220,  230,  
  30,  987,  220,  230,  
  31,  987,  226,  230,  
  32,  987,  226,  230,  
  33,  987,  226,  230,  
  34,  989,  226,  230,  
  35,  989,  229,  230,  
  36,  989,  229,  230,  
  37,  989,  229,  230,  
  38,  990,  229,  230,  
  39,  990,  231,  230,  
  40,  990,  231,  230,  
  41,  990,  231,  230,  
  42,  989,  231,  230,  
  43,  989,  229,  230,  
  44,  989,  229,  230,  
  45,  989,  229,  230,  
  46,  989,  229,  230,  

   1,    x,    x,  250,  
   2,  511,    x,  250,  
   3,  511,   56,  250,  
   4,  511,   56,  250,  
   5,  511,   56,  250,  
   6,  767,   56,  250,  
   7,  767,   97,  250,  
   8,  767,   97,  250,  
   9,  767,   97,  250,  
  10,  895,   97,  250,  
  11,  895,  151,  250,  
  12,  895,  151,  250,  
  13,  895,  151,  250,  
  14,  959,  151,  250,  
  15,  959,  192,  250,  
  16,  959,  192,  250,  
  17,  959,  192,  250,  
  18,  991,  192,  250,  
  19,  991,  233,  250,  
  20,  991,  233,  250,  
  21,  991,  233,  250,  
  22, 1007,  233,  250,  
  23, 1007,  267,  250,  
  24, 1007,  267,  250,  
  25, 1007,  267,  250,  
  26,  999,  267,  250,  
  27,  999,  248,  250,  
  28,  999,  248,  250,  
  29,  999,  248,  250,  
  30, 1003,  248,  250,  
  31, 1003,  257,  250,  
  32, 1003,  257,  250,  
  33, 1003,  257,  250,  
  34, 1001,  257,  250,  
  35, 1001,  253,  250,  
  36, 1001,  253,  250,  
  37, 1001,  253,  250,  
  38, 1000,  253,  250,  
  39, 1000,  251,  250,  
  40, 1000,  251,  250,  
  41, 1000,  251,  250,  

   1,    x,    x,  270,  
   2,  511,    x,  270,  
   3,  511,   56,  270,  
   4,  511,   56,  270,  
   5,  511,   56,  270,  
   6,  767,   56,  270,  
   7,  767,   97,  270,  
   8,  767,   97,  270,  
   9,  767,   97,  270,  
  10,  895,   97,  270,  
  11,  895,  151,  270,  
  12,  895,  151,  270,  
  13,  895,  151,  270,  
  14,  959,  151,  270,  
  15,  959,  192,  270,  
  16,  959,  192,  270,  
  17,  959,  192,  270,  
  18,  991,  192,  270,  
  19,  991,  233,  270,  
  20,  991,  233,  270,  
  21,  991,  233,  270,  
  22, 1007,  233,  270,  
  23, 1007,  267,  270,  
  24, 1007,  267,  270,  
  25, 1007,  267,  270,  
